Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.06814003,27.9737606,29.22801018,28.9244194,29.78269005,29.2934494,34.42301178,32.73920822,34.9405098,35.15208817,33.98854828,35.23363113,37.12929916,38.00754166,16.97570992,17.72134018,16.78181076,17.56377983,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,1.830129981,1.832470059,1.861400008,1.887680054,1.950489998,1.995059967,2.025510073,2.052320004,2.129879951,2.170069933,2.223839998,2.258869886,2.353620052,2.378910065,2.470499992,2.579780102,2.713200092,2.832679987,2.949259996,3.103310108,3.135090113,3.253910065,3.353100061,3.573199987,3.762919903,3.683919907,3.634520054,3.605380058,3.599770069,3.652019978,3.886369944,4.209959984,4.471159935,4.779240131,5.062029839,5.300940037,5.573850155,5.734079838,6.146780014,6.742489815,7.335609913,7.721879959,8.033969879,8.266180038,8.400759697,8.566809654,8.729940414,8.896160126,8.957790375,8.897720337,8.947290421,8.89552021,,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.806509972,0.977230012,1.014490008,1.171839952,1.097650051,1.193840027,1.348080039,1.495440006,1.908800006,2.033169985,,,2.190550089,,,,2.379489899,1.881790042,,,2.465280056,,,,,,,,,,,,,1.381070018,1.389660001,,,,,4.024809837,,3.755609989,,,8.310870171,,,,9.96378994,,10.8584404,,,
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.621070027,0.622600019,0.665459991,0.72803998,0.789539993,0.833299994,0.929059982,1.086969972,1.225659966,1.491649985,1.646649957,1.918869972,2.052010059,2.147209883,2.217560053,2.41463995,2.55904007,2.530299902,2.717730045,2.844069958,2.951819897,3.055710077,3.194319963,3.372889996,3.532200098,3.675339937,3.869390011,4.097489834,4.253220081,4.422110081,5.0457201,5.533430099,6.045750141,6.547579765,6.741779804,7.170529842,7.236589909,7.470829964,7.73029995,7.876130104,8.161789894,8.461370468,8.847189903,9.404359818,9.658439636,9.705060005,9.501190186,9.618430138,9.803469658,9.946279526,10.13945961,10.39554977,,
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.566200018,0.552250028,0.580709994,0.589290023,0.555729985,,,,,,0.588230014,0.531930029,,,0.754029989,2.771820068,2.07171011,2.552469969,2.481750011,,,,,6.332630157,,9.116370201,,8.683790207,9.660340309,9.65568924,9.352542877,11.06135941,,,,9.910849571
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,11.99890995,12.76107025,,,,,,4.794219971,,,4.322169781,,5.104380131,5.764540195,6.306069851,6.600470066,6.813399792,7.329929829,7.871230125,8.223870277,8.84414959,9.196969986,10.98034954,10.36900043,9.962510109,10.82717037,12.5855999,13.40367031,14.53652,,,16.3895607,16.36623955,19.12957954,22.38900948,26.21010017,30.23192978,31.68395996,32.92398834,43.32793045,49.39970016,58.62142181,63.84405899,65.55071259,61.96084976,58.48847961,58.0177803,56.08029938,61.4085083,61.58530045,59.96987152,62.6479187,64.72934723
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.826900005,7.341650009,7.658490181,7.876550198,9.31690979,,11.74213028,,,,13.28104019,14.75994968,13.70014,13.88195992,15.10890961,15.43694019,15.39402962,15,15.09827042,15.20427036,34.48035049,64.27723694
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,5.728640079,5.728829861,5.992209911,6.350130081,6.75883007,7.319479942,8.012860298,8.776599884,9.252220154,9.215239525,9.524479866,10.04119015,10.37452984,10.49929047,10.71817017,10.6651001,10.96551037,11.01957035,11.07831001,10.7546196,10.76653957,10.44711971,11.05967999,11.8874197,12.3969202,13.14820004,14.0633297,14.97358036,15.76980019,17.05787086,17.31719017,17.93272972,18.82526016,18.91885948,20.12494087,21.1616497,21.57916069,22.11978912,22.87327957,23.66563988,24.47134972,23.46295929,24.83675957,26.56310081,27.96995926,29.49156952,30.07344055,31.17877007,32.5794487,33.15542984,33.86523819,33.86050034,33.97402954,35.1263504
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56842041,55.75405121,,,61.34561157
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,13.37759018,15.44097996,16.62080956,19.75163078,22.88301086,27.07715988,27.01173973,23.96474075,21.25099945,22.12047005,21.71590042,23.19234085,23.95490074,24.98277092,28.79282951,35.51288986,37.50738907,39.40068817,,,,38.27970123,,,37.13759995,,,,47.99156189,49.63843155,54.33327103,58.79169083,62.05926132,64.40245056,64.8878479,63.7323494,67.11859131,66.90944672,68.81629181,71.03746033,74.18753052,77.42961121,78.45590973,78.7686615,81.16941071,83.76258087,86.61788177,89.23294067,90.97283173,95.0775528,99.26622772,107.130661,107.0479126,
