name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Bernard Arnault & family,1,211000,74,M,France,NA,Paris,Fashion & Retail,FALSE,Chairman and CEO,LVMH,U,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Elon Musk,2,180000,51,M,United States,Texas,Austin,Automotive,TRUE,CEO,"Tesla, SpaceX",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jeff Bezos,3,114000,59,M,United States,Washington,Medina,Technology,TRUE,Chairman and Founder,Amazon,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Larry Ellison,4,107000,78,M,United States,Hawaii,Lanai,Technology,TRUE,CTO and Founder,Oracle,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Warren Buffett,5,106000,92,M,United States,Nebraska,Omaha,Finance & Investments,TRUE,CEO,Berkshire Hathaway,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Bill Gates,6,104000,67,M,United States,Washington,Medina,Technology,TRUE,Cochair,Microsoft,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Michael Bloomberg,7,94500,81,M,United States,New York,New York,Media & Entertainment,TRUE,CEO,Bloomberg LP,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Carlos Slim Helu & family,8,93000,83,M,Mexico,NA,Mexico City,Telecom,TRUE,Honorary Chairman,Telecom,U,166.8903693,12.213697200000013,1464310000000,147740000000,102.0047836,102.0047836,74.832,128613117,3.256,23.634501,-102.552784
Mukesh Ambani,9,83400,65,M,India,NA,Mumbai,Diversified,FALSE,Founder and Chairman,Diversified,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Steve Ballmer,10,80700,67,M,United States,Washington,Hunts Point,Technology,TRUE,Owner,Microsoft,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Francoise Bettencourt Meyers & family,11,80500,69,F,France,NA,Paris,Fashion & Retail,FALSE,NA,L'Oréal,U,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Larry Page,12,79200,50,M,United States,California,Palo Alto,Technology,TRUE,Cofounder and board member,Google,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Amancio Ortega,13,77300,87,M,Spain,NA,La Coruna,Fashion & Retail,TRUE,NA,Zara,U,123.5917283,9.567306200000004,1446500000000,-14740000000,102.4459915,102.4459915,83.08292683,47759127,12.917,40.463667,-3.74922
