Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.435112,108.3265076,110.9204178,115.3170013,113.9026413,116.1875381,116.3979111,117.4674988,119.8841324,118.3311691,120.8409271,115.0828934,106.6978912,104.3805008,116.108017,117.8815918,115.8881897,114.1762918,,109.1999969,109.6978912,109.2460938,111.7201004,104.667572,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,59.63031006,59.77433014,60.53543854,61.70243835,65.1553421,67.49780273,68.98993683,70.83625793,71.92462158,74.72444153,77.70227051,79.32483673,79.6594162,79.58424377,78.885849,76.66558838,76.4804306,74.64269257,73.82321167,75.06816864,72.51515961,73.82099915,72.24102783,72.24427032,72.10102844,73.86141968,73.78450775,77.66291809,77.84372711,76.83834839,78.73921967,81.96898651,84.69745636,88.64061737,91.04965973,94.66784668,97.33838654,100.662323,104.486702,104.1468582,103.4816666,103.4626999,103.6719437,102.8798904,103.1857529,101.7611771,102.0548096,102.6123123,103.6047592,104.2755432,104.9694824,103.4340973,103.0904236,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,33.42000961,34.33134079,34.75268173,35.21437073,35.76082993,36.71591187,37.60150909,38.38040924,39.67102051,,46.06629181,52.37714005,21.8145504,,27.09651947,27.35779953,29.06418037,,37.84622955,35.48210144,34.57723999,36.11692047,,36.47658157,47.78609848,49.69832993,,,34.29687881,27.29884911,22.16299057,22.90859032,75.95974731,96.55368042,106.2526627,100.2296906,103.9322433,101.0864563,103.4139633,99.36972046,102.9034424,100.2902985,106.2834015,107.6959763,109.1155167,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,,,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,43.18832016,44.80601883,46.83858109,48.41178131,48.60110855,49.14978027,49.76313019,55.68436813,63.88393021,71.06012726,74.26808167,78.35238647,83.22492218,83.36490631,82.38996887,79.74408722,73.33663177,71.58255768,69.7332077,69.00042725,70.3363266,70.53852081,72.45628357,74.92559052,75.56070709,74.3431778,69.76180267,73.59921265,76.59824371,79.54097748,82.69599152,83.16815948,84.88159943,85.64588928,87.61100769,88.5914917,89.37703705,86.68208313,84.29917908,85.96044159,86.59049225,89.90659332,91.40486908,92.65425873,91.0842514,89.11257172,88.78336334,88.93914032,88.85160828,89.75641632,90.24617004,90.2592392,90.39772797,90.50138092
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,59.06124115,64.03260803,66.0256424,71.73970795,,,,,,153.2166138,135.9693146,127.0382919,114.5610504,99.75843048,78.5105896,84.57817841,84.49256897,82.75563812,82.34767151,77.09954071,70.35929108,67.46276855,,,,,,74.16484833,,,,,,,,,104.2333298,111.1099472,110.2017899,111.872879,126.2451477,,,,119.1422577,107.0269649,122.2351662,88.57486897,,,88.833992,86.70679616,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,107.7332993,,102.6750488,100.6893387,97.44467926,95.98697662,95.40448761,95.22859192,96.8741684,98.00637054,99.20932007,98.83931732,98.41758728,99.12294769,99.37259674,100.6457138,99.0358963,98.06433105,101.122879,104.1047592,107.0152435,109.209137,109.6497498,109.3973007,,,110.3389206,107.598259,104.1317215,107.0161438,105.4777832,103.4884415,100.3830032,100.9237366,99.86183167,101.5802689,102.0673599,101.4749527,105.7705765,105.688652,105.3247833,105.4149704,104.5680237,102.5895386,100.0209732,97.10749817,96.37123108,93.71381378
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,99.0031662,,,,,,,,102.5237503,,,,,,,,,,,,,,,,,,,98.2305069,95.10906982,92.97863007,84.2615509,84.42799377,86.87206268,89.44644165,90.23799896,90.11556244,89.09091187,88.13487244,87.65351868,88.23529053,88.95535278,90.17194366,89.37107086,89.67447662,89.35289764,88.71708679,88.88407898,90.1473465,97.62286377
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,66.11810303,66.17684174,67.57154083,68.72268677,69.0941925,70.53308868,72.00759888,72.78083038,73.13017273,74.92487335,76.00885773,75.95661163,76.70085144,77.42318726,78.23348236,78.03114319,78.68702698,79.59313965,80.2281189,80.12425995,80.98026276,81.81536102,79.30223846,79.91858673,82.33704376,81.17279053,83.39784241,84.33128357,85.12084198,86.20443726,86.65733337,87.29393768,88.43927765,89.36952972,89.92668915,90.59657288,91.58924103,91.91295624,92.24952698,92.29357147,92.81179047,93.7129364,95.14855194,91.59358978,90.61151886,90.61061859,90.67342377,90.80682373,91.06926727,91.25904846,91.69319153,91.54811859,90.35279846,91.71102142
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,61.65330887,68.85012817,74.63288879,77.59902954,80.77301025,93.51902771,98.19428253,97.60421753,94.18134308,91.76853943,88.16384125,94.93871307,96.1774826,95.89848328,93.8554306,93.22070313,92.37963104,94.2568512,98.31022644,102.3238983,104.0066528,100.7795334,99.24217224,100.8629379,102.6881409,100.1281662,97.30005646,98.2942276,101.4956818,102.1068497,122.8699799,118.7754288,117.2596512,110.6941223,105.7199097,100.2580719,97.28157806,,78.30938721,80.52011871,79.77497864,82.22915649,82.41033173,86.75390625,91.78270721,88.74154663,81.79920197,,90.93608856,93.7939682,,,106.2599487
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.7694778,106.7520981,106.2868195,105.7107468,106.1273193,105.4722595,105.1465073,105.9468307,105.3510208,105.6624908,105.6702881,106.2806168,106.7432175,,106.1247482,107.0357437,108.8759766,109.7503891,110.3098373,,107.9235916,109.3128891,,,111.7349319,,112.2408905,109.2838974,113.8952484,116.6007538,117.2811737,117.3070374,117.2992401,114.6765823,115.6678772,114.7447662,116.3161316,117.3506165,118.4370117,118.4015579,118.2347183,117.4637527,116.5163498,114.5092392,113.9618835,113.7781982,112.9442673,111.6814575,111.5456085,111.3653183,110.6178131,110.1561127,108.7224121,
